Year,State,District,Reg.No,Donor_s_no,Donor_Name,Donor_type,Donor_Address,Purpose,Amount (INR)
2017-2018,Delhi,Delhi,231650010,5,SETH MADANLALL PALRIWALA FOUNDATION,Institutional,"C-567, 2ND FLOOR DEFENCE COLONY NEW DELHI 110024, INDIA , India, Email Id: , Website Address :",Social,1793440
2017-2018,Delhi,Delhi,231650010,6,RODRIGO MAGALHAES,Institutional,"RUA DR ARMANDO BACELAR 189 RC DTO , CASCAIS- 2750457 , PORTUGAL , Portugal, Email Id: , Website Address :",Social,25000
2017-2018,Delhi,Delhi,231650010,7,QUALCOMM INDIA PRIVATE LIMITED,Institutional,"UNIT NO.201, 2ND FLOOR, TOLSTOY HOUSE 15, TOLSTOY MARG, NEW DELHI 110001, INDIA , India, Email Id: , Website Address :",Social,7673000
2017-2018,Delhi,Delhi,231650010,8,PRAKASH CHANDRA MEHTA,Institutional,"29- WILLEE ST. STRATHFIELD NEW SOUTH WALES, SYDNEY , AUSTRALIA , Australia, Email Id: , Website Address :",Social,51000
2017-2018,Delhi,Delhi,231650010,9,NASSCOM FOUNDATION,Institutional,"3RD FLOOR , PLOT 7 -10, NEAR AMITY UNIVERSITY NOIDA , INDIA , India, Email Id: , Website Address :",Social,35498
2017-2018,Delhi,Delhi,231650010,10,MUTHUSAMI KUMARAN,Institutional,"UNIVERSITY OF FLORIDA , FLORIDA , UNITED KINGDOM , United Kingdom, Email Id: , Website Address :",Social,29000
2017-2018,Delhi,Delhi,231650010,11,INDIAN FOR COLLECTIVE ACTION,Institutional,"3838, MUMFORD PLACE CALIFORNIA - 94A306 UNITED STATES , United States of   America, Email Id: , Website Address :",Social,489214
2017-2018,Delhi,Delhi,231650010,12,HELPAGE INTERNATIONAL,Institutional,"e PO BOmX 32832 LONDON - N1 9ZN UNITED KINGDOM , oUnited Kingdom, Email Id: , Website Address :",Social,4339848
2017-2018,Delhi,Delhi,231650010,13,DEUTSCHE BANK AG,Institutional,"B-1 , NIRLON KNOWLEDGE PARK , WESTERN EXPRESS HIGHWAY, GOREGAON EAST MUMBAI-400063, INDIA. , India, Email Id: , Website Address :",Social,50000000
2017-2018,Delhi,Delhi,231650010,14,r CHARITIES AID t FOUNDATION AMERICA s i n i,Institutional,"1800 DIAGONAL ROAD, STE 150, ALEXANDRIA VIRGINIA - 22314 UNITED STATES , United States of America, Email Id: , Website Address :",Social,1562500
2017-2018,Delhi,Delhi,231650010,15,M CHARITIES AID FOUNDATION,Institutional,"PLOT/SITE NO.2, FIRST FLOOR, SECTOR C (OFC POCKET), NELSON MANDELA MARG, VASANT KUNJ, NEW DELHI - 110070, INDIA , India, Email Id: , Website Address :",Social,6979964
2017-2018,Delhi,Delhi,231650010,16,BENEVITY,Institutional,"11110-1ST STREET SW, CALGARY - ABT2R0V1 UNITED STATES , United States of America, Email Id: , Website Address :",Social,771140
2017-2018,Delhi,Delhi,231650010,17,ATANDT GLOBAL BUSINESS SERVICES INDIA PRIVATE LIMITED,Institutional,"13TH FLOOR, 1305- 1306, MOHAN DEV HOUSE, 13 TOLSTOY MARG, NEW DELHI - 110001, INDIA , India, Email Id: , Website Address :",Social,6100000
2017-2018,Delhi,Delhi,231650010,18,AMMADO,Institutional,"AMMADO AG BAARERSTRASSE ZUG- 956301 , SWITZERLAND , Switzerland, Email Id: , Website Address :",Social,353048
2017-2018,Delhi,Delhi,231661732,1,UDAY KAMBOJ,Individual,"2 YORK COURT, WANTIRNA SOUTH, VIC 3152, AUSTRALIA , Australia, Email Id: DEV@KAMBOJ.C OM.AU, Website Address :",Social,63048.5
2017-2018,Delhi,Delhi,231661732,2,JOSEPHINE ELIZABETH H,Individual,"5 QUEENS RISE, RICHMOND, SURREY, TW 10 6HL, UK , United Kingdom, Email Id: JOSEPHINE.HOW ARD@BTCONNE CT.COM, Website Address :",Social,22062.5
2017-2018,Delhi,Delhi,231661455,1,DGB Investments,Institutional,"LLC, PO Box 940794  Plano Texas 75074 United State of America , United States of America, Email Id: , Website Address :",Social,721800.73
2017-2018,Delhi,Delhi,231660031,1,VIBHA,Institutional,"1030.East Camino Real.424. SUNNYVALE.CA 94087 , United States of America, Email Id: office@gmil.com, Website Address : http://www.vibha.o rg",Educational,1483741
2017-2018,Delhi,Delhi,231660031,2,Plan International,Institutional,"E-12,Kailash Colony, New Delhi -110049 , India, Email Id: planindia@gmil.co m, Website Address : http://www.planind ia.org",Social,10295791
2017-2018,Delhi,Delhi,231650113,1,Terre des hommes Germany  India Programme,Institutional,"Regie House, Opp. Police Lines, Pandita Ramabai Road, Pudumjee Park, PUNE  411 002 , India, Email Id: , Website Address :",Social,114600
2017-2018,Delhi,Delhi,231650113,2,Terre Des Hommes Deutschland e v,Institutional,"Ruppenkampstrasse 11 A, D-49084 Osnabrueck, Germany , Germany , Email Id: , Website Address :",Social,1529549.66
2017-2018,Delhi,Delhi,231650113,3,European Commission,Institutional,"Avenue du Bourget 1 B-1140 Brussels, Belgium , Belgium, Email Id: , Website Address :",Social,23164221
2017-2018,Delhi,Delhi,231650317,1,Oxfam India r t,Institutional,"4th and 5th Floor, Shriram Bharatiya Kala Kendra 1 , Copernicus Marg New Delhi Delhi -110 001 , India, Email Id: , Website Address :",Social,926900
2017-2018,Delhi,Delhi,231650317,2,s i Shanker Narayan Dixit n i,Individual,"9701 Amber peak Court, Las Vegas, NV 89144 , United States of America, Email Id: , Website Address :",Educational,74653.41
2017-2018,Delhi,Delhi,231650317,3,M Vaishnava Center Enlightenment,Institutional,"3505 Coolidge Road East lansing , Michigan 48823,U.S.A , United States of America, Email Id: lesia.jakowiw@ml.com , Website Address :",Social,1067242.57
2017-2018,Delhi,Delhi,231650317,4,Paul Hamlyn Foundation,Institutional,"Paul Hamlyn Foundation ,5-11 Leeke Street, London WC1X 9HY, UK , United Kingdom, Email Id: mbrookes@phf.org.uk, Website Address : http://www.phf.org.uk",Social,5264835
2017-2018,Delhi,Delhi,231660710,1,Black Friars Overseas Aid Trust r t,Institutional,"Porters Lodge Blackfriars Priory St Giles Oxford OX1 3LY UK , United Kingdom, Email Id: , Website Address :",Social,387539.35
2017-2018,Delhi,Delhi,231660710,2,s i Oakseed Ministries n International i,Institutional,"P.O. Box 11222, Burke VA 22009, USA, , United States of America, Email Id: , Website Address :",Social,330224.16
2017-2018,Delhi,Delhi,231660710,3,M South Asian Concern,Institutional,"50 Grove Road Sutton Surrey-SM 1BT , United Kingdom, Email Id: , Website Address :",Social,1081937.52
2017-2018,Delhi,Delhi,231650754,1,Associazione Bambini Dell Arc,Institutional,"ITALY , Italy, Email Id: , Website Address :",Social,346940
2017-2018,Delhi,Delhi,231650754,2,David Mc Kinstry,Individual,"Canada , Canada, Email Id: , Website Address :",Social,44239
2017-2018,Delhi,Delhi,231650754,3,Ninos Sin Fronteras,Institutional,"Aravaca, Madrid , Spain, Email Id: , Website Address :",Social,354700
2017-2018,Delhi,Delhi,231650754,4,Diane Demers,Individual,"246, Rolfe Rd, Dekalb, Illinois , United States of America, Email Id: , Website Address :",Social,51713.2
2017-2018,Delhi,Delhi,231650754,5,ITALIAN ASSOCIATATION FOR CHILDREN,Institutional,"ITALY , Italy, Email Id: , Website Address :",Social,297738
2017-2018,Delhi,Delhi,231650026,1,University of Leeds r,Institutional,"EC Stoner Building Leeds LS2 9JT , United Kingdom, Email Id: , Website Address :",Educational,370695
2017-2018,Delhi,Delhi,231650026,2,t s Danish Refugee Council  Central Asia i South West Asia CASWA,Institutional,"House 3 ,street 3 ,Kart e  Char, Kabul , Afghanistan, Email Id: , Website Address :",Social,732302
2017-2018,Delhi,Delhi,231650026,3,n Jiesuitenmission,Institutional,"Konigstrabe 64 90402- Nurnberg , Germany , Email Id: , Website Address :",Educational,2140457.6
2017-2018,Delhi,Delhi,231650026,4,M Katholische Zentralstelle Fur Entwicklungshilfe ev,Institutional,"MozartstreBe,52064, Aachen , Germany , Email Id: postmaster@misereor.d e, Website Address : http://www.misereor.de",Educational,4117350
2017-2018,Delhi,Delhi,231650026,5,Mount St Benedict College,Institutional,"a 449C Pennant Hills Rd Pennant Hills NSW 2120e Australlia , Australia, Email Id: admin@msben.nsw.ed u.au, Website Address :",Educational,96965
2017-2018,Delhi,Delhi,231661043,1,Italian Bishops Conference,Institutional,"Prot N:1090/2018,com mittee for charitable interventions in favour ,Aurelia ,50- 00165 , Italy, Email Id: , Website Address :",Social,7361418
2017-2018,Delhi,Delhi,231661043,2,KINDERNOTHIL FE,Institutional,"KINDERNOTHIL FE EV DUSSELDORFER, LANDSTRASSE 180, 47249, DUISBURG , Germany , Email Id: , Website Address :",Social,133050
2017-2018,Delhi,Delhi,231661043,3,KINDERNOTHIL FE,Institutional,"KINDERNOTHIL FE EV DUSSELDORFER, LANDSTRASSE 180, 47249, DUISBURG , Germany , Email Id: , Website Address :",Social,1653676
2017-2018,Delhi,Delhi,231661043,4,KINDERNOTHIL FE,Institutional,"KINDERNOTHIL FE EV DUSSELDORFER, LANDSTRASSE 180, 47249, DUISBURG , Germany , Email Id: , Website Address :",Social,1929410
2017-2018,Delhi,Delhi,231661043,5,CARITAS INDIA,Institutional,"CBCI CENTRE 1 ASHOKA PLACE GOLE DAK KHANA NEW DELHI 110001 , India, Email Id: , Website Address :",Social,2607922
2017-2018,Delhi,Delhi,231661043,6,MANOS UNIDAS,Institutional,"COUNTRY OFFICER, BARQUILLO 383- 28004, MADRID , Spain, Email Id: , Website Address :",Social,2360050
2017-2018,Delhi,Delhi,231661043,7,HOLISTIC CHILDREN DEVELOPMENT INDIA,Institutional,"o S NO 4A1/A1/1E SALUNK VHIHAR ROAD, WANOWRIE   PUNfE 411040 MAHARASHTRA o , India, Email Id: , Website Address :",Social,2923730
2017-2018,Delhi,Delhi,231661043,8,ST THOMAS INSTITUTE,Institutional,"V LUDWIGSTER 154 - KONINGSMOOS , Germany , Email Id: , Website Address :",Social,1967246.76
2017-2018,Delhi,Delhi,231661043,9,ST THOMAS INSTITUTE i M,Institutional,"V LUDWIGSTER 154 - KONINGSMOOS , Germany , Email Id: , Website Address :",Social,6098155.64
2017-2018,Delhi,Delhi,231661043,10,ST THOMAS INSTITUTE,Institutional,"V LUDWIGSTER 154 - KONINGSMOOS , Germany , Email Id: , Website Address :",Social,2990765.38
2017-2018,Delhi,Delhi,231661043,11,ST THOMAS INSTITUTE,Institutional,"V LUDWIGSTER 154 - KONINGSMOOS , Germany , Email Id: , Website Address :",Social,674912.1
2017-2018,Delhi,Delhi,231651002,1,AUSTRALIAN CNTR FOR r AGRICULTURAL RESEARCH,Institutional,"GPO, BOX NO. 1571, CANBERRA, AUSTRALIA , Australia, Email Id: , Website Address :",Social,2632350.43
2017-2018,Delhi,Delhi,231660349,1,CARITAS INDIA r t,Institutional,"CBCI Centre, 1, Gol Dak Khana Roundabout, Ashok Place, New Delhi, 110001 , India, Email Id: , Website Address :",Religious,200000
2017-2018,Delhi,Delhi,231660349,2,s i SR MARYON n i M,Individual,"KRANKENHAUS, BARMHERZIGE BRUDER, ROMAN STR-93, 80693 MUNCHEN , Germany , Email Id: , Website Address :",Religious,2022598
2017-2018,Delhi,Delhi,231661425,1,JAGORI RURAL CHARITABLE TRUST,Institutional,"Rakkar Rd, Dharamshala, Himachal Pradesh 176057 , India, Email Id: , Website Address :",Social,120000
2017-2018,Delhi,Delhi,231661425,2,Oak Foundation,Institutional,"Oak Philanthropy Ltd Case Postale 118 58, Avenue Louis Casai 1216 Cointrin, Geneva , Switzerland, Email Id: , Website Address :",Social,7460250
2017-2018,Delhi,Delhi,231660781,1,THE HOME CHURCH r t,Institutional,"1799 WINCHESTER BLVD CAMPBELL, CA 95008 , United States of America, Email Id: , Website Address :",Social,8894183
2017-2018,Delhi,Delhi,231660781,2,s i STEWERDSHIP n i,Institutional,"PO BOX 99, LOUGHTON ESSEX 1, G103Q J ENGLAND , United Kingdom, Email Id: , Website Address :",Social,40687
2017-2018,Delhi,Delhi,231660781,3,M SCRIPTURE IN USE,Institutional,"101 S LA CANADA DR STE 49 DGREEN VALLEY ARIZONA 85614 , United States of America, Email Id: , Website Address :",Social,1296959
2017-2018,Delhi,Delhi,231660781,4,Positive Initiatives LLC,Institutional,"933 N. Dupont Hey PMB Milford de 19963 -1045 , United States of America, Email Id: , Website Address :",Social,320050
2017-2018,Delhi,Delhi,231660781,5,PARTNER INTERNATIONAL,Institutional,"1313 NORTH ATLANTIC STREET SUILT, 4000 SPOKANE WA USA- 99218 , United States of America, Email Id: , Website Address :",Social,454180
2017-2018,Delhi,Delhi,231660781,6,HIS,Institutional,"PO BOX 64368 VIRGINIA BEACH, VIRGINIA 23467 , United States of America, Email Id: , Website Address :",Social,1407770
2017-2018,Delhi,Delhi,231660781,7,Cross Road Chruch,Institutional,"726 W.F Francis Street ASPEN 86611 , United States of America, Email Id: , Website Address :",Social,1252320
2017-2018,Delhi,Delhi,231660781,8,COLLEEN,Individual,"BRINING CPA 215 S MONARCH ST SUIT 203 ASPEN CO 81611 , United States of America, Email Id: , Website Address :",Social,321682
2017-2018,Delhi,Delhi,231660781,9,Christopher D Mauger,Individual,"471 Kleman Road Gilbertsville PA 19525 , United States of America, Email Id: , Website Address :",Social,58832
2017-2018,Delhi,Delhi,231660781,10,CHRISTIAN AID MISSION,Institutional,"1201 5TH STREET EXT. CHARIOTTESVILLE , VIRGINIA , United States of America, Email Id: , Website Address :",Social,2805018
2017-2018,Delhi,Delhi,231660781,11,CENTRAL UNITED PROTESTANT CHURCH,Institutional,"1124 STEVENS DR RICHLAND WASHINGTON 99352 , United States of America, Email Id: , Website Address :",Social,124827
2017-2018,Delhi,Delhi,231660781,12,CARRYON BRIDGE CHRISTIAN CHURCH,Institutional,"6200 WEST LANE MOUNTAIN ROAD LAS VEGAS NA A 89130 , United States of America, Email Id: , Website Address :",Social,1234568
2017-2018,Delhi,Delhi,231660781,13,BRIGHT HOPE WORLD,Institutional,"e 32 BYRON STREET , CHRImST CHURCH 8023 , New Zealand, Email Id: , Website Address :",Social,115560
2017-2018,Delhi,Delhi,231660781,14,Bluemed,Institutional,"o 452 Triq Ilbajja, T.A Monita Marsas Qala Malta MSK 1072 , Malta, Email Id: , Website Address :",Social,866911
2017-2018,Delhi,Delhi,231660781,15,BETHANY FELLOWSHIP INCORPORATION,Institutional,"6820 AUTO CLUB ROADBLOOMINGTO N MN , United States of America, Email Id: , Website Address :",Social,1918425
2017-2018,Delhi,Delhi,231660781,16,ALLEGRO r ORGANISATIOtNAL SOLUTIONSs,Institutional,"5535 MEMORIAL DR.STE.F-811 HOUSTON TAXES , United States of America, Email Id: , Website Address :",Social,1207861
2017-2018,Delhi,Delhi,231660781,17,i n AIM IiNTERNATIONAL M,Institutional,"237,LANDMAR DRIVE, CHARLOTTESVILLE , VA-22903,UNITED STATES OF AMERICA , United States of America, Email Id: , Website Address :",Social,4109111
2017-2018,Delhi,Delhi,231660514,1,National Foundation of India,Institutional,"India Habital Center, Core 4-A, P.O. Box 3133, Lodhi Road, New Delhi-110003 , India, Email Id: info@nfi.org.in, Website Address :",Social,3566937
2017-2018,Delhi,Delhi,231660514,2,Jal Seva Charitable Foundation,Institutional,"Water Aid India 2nd Floor, New Block RK Khanna Tennis Stadium, DLTA Complex, 1 Africa Avenue, New Delhi 110029 , India, Email Id: , Website Address :",Social,70439
2017-2018,Delhi,Delhi,231660011,1,CARE INDIA,Institutional,"NEW DELHI , India, Email Id: , Website Address :",Educational,168218
2017-2018,Delhi,Delhi,231660011,2,EDUCATION INTERNATIONA L,Institutional,"5 Bd du Roi Albert- II 1210 Brussels Belgium , Belgium, Email Id: , Website Address :",Educational,633286
2017-2018,Delhi,Delhi,231660011,3,CANADIAN TEACHERS FEDERATION,Institutional,"2490 DON REID OTTAWA ONTARIO K1 H1 E1 CANADA , Canada, Email Id: , Website Address :",Educational,2531664
2017-2018,Delhi,Delhi,231660011,4,LARARFORBUN DET,Institutional,"SWEDISH TEACHERS UNION (STU) PO BOX 12229 SE - 10226 STOCKHOLM SWEDEN , Sweden, Email Id: , Website Address :",Educational,3559490
2017-2018,Delhi,Delhi,231660140,1,Project Concern International r t s i,Institutional,"5151 Murphy Canyon Rd Suite 320San Diego California 92123 , United States of America, Email Id: postmaster@pciglobal. org, Website Address : https://www.pciglobal. org",Social,344008343
2017-2018,Delhi,Delhi,231660917,1,Goodnews for India,Institutional,"Post Box 7576, Laverne, California,USA. , United States of America, Email Id: gnficea@gmail.co m, Website Address : http://www.goodne wsforindia.org/",Social,100000
2017-2018,Delhi,Delhi,231660917,2,Goodnews for India,Institutional,"Post Box 7576, Laverne, California,USA. , United States of America, Email Id: gnficea@gmail.co m, Website Address : http://www.goodne wsforindia.org/",Social,220000
2017-2018,Delhi,Delhi,231660917,3,Goodnews for India,Institutional,"Post Box 7576, Laverne, California,USA. , United States of America, Email Id: gnficea@gmail.co m, Website Address : http://www.goodne wsforindia.org/",Social,235000
2017-2018,Delhi,Delhi,231660917,4,Goodnews for India,Institutional,"Post Box 7576, Laverne, California,USA. , United States of America, Email Id: gnficea@gmail.co m, Website Address : http://www.goodne wsforindia.org/",Educational,6373999
