State,Reg No,Association,Address,Nature
Maharashtra,83780977,Jain Social Group (Bombay) Foundation,"7-A, Bhulabhai Desai Road, Mumbai-400026","Cultural ,Economic ,Educational ,Social "
Maharashtra,83780980,Manav Welfare Trust,"44-A, Doctors House Jestaram Baug, Opp. Babubhai jangjivandas, Dadar-400014",Social 
Maharashtra,83780987,Mukherjee Knowledgeware Association,"16, Panchratna, Prof. Almeida Road, , Bandra (West), -400050","Educational ,"
Maharashtra,83780991,New Jerusalem Church Society,"Church Lane, Tilak Nagar, , Dharga Cross Road, Sonapur, Bhandup-400078",Social 
Maharashtra,83781005,Rotary Club of Bombay Central Charitable Trust,"422, Arun Chambers, Tardeo, , Mumbai-400034",Social 
Maharashtra,83781011,Neil Charitable Trust,"16 Prajakta, Bamanwada, , Vile Parle (East), -400099",Social 
Maharashtra,83781019,Centre for Dialogue and Reconciliation,"Kumaram, , 10 Worli Sea Face, Mumbai-400018","Educational ,Social "
Maharashtra,83781033,Al-Jamiatur Rahmania Wa Tahfizul Quran,"Salfi Gali 3, Gandhi Nagar, Charkop, Kandivli West, Mumbai-400067","Educational ,Social "
Maharashtra,83781044,The Surat Charity Fund,"C/o V.R.Momaya & Co, Army-Navy, Building, 3rd floor, 148, Kala Ghoda, -400023",Social 
Maharashtra,83781046,MP Mansinghka Charities,"1111-A, Raheja Chambers, 213, Free, Press Journal Marg, Nariman Point-400021","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781056,World Jain Confederation,"4P, Vijay Chambers, Tribhuvan Road, Mumbai (Maharashtra)-400004","Cultural ,Educational ,Social "
Maharashtra,83781057,Late Smt. Ashadevi Dubey Memorial Charitable Trust,"2/5 Shah Thokarasi Bldg., Ganpat Rao Kadam Marg-400018","Educational ,Social "
Maharashtra,83781061,Saraswati Mandir Trust,"135-145 Hindu Colony, C/O Raja Shivaji Vidyasankul, Dadar-400014","Educational ,Social "
Maharashtra,83781082,Rashtriya Seva Samiti-Inlaks General Hospital,"Inlaks Hospital Road, Chembur Colony, Chembur-400074",Social 
Maharashtra,83781084,Madhu Murchana (Trust),"2, Pushpa Colony, Manchubhai Rd, Malad (East), Mumbai-400097","Cultural ,Social "
Maharashtra,83781093,North Gujarat Educational Society,"Oriental House, 5th Floor, 7, Jamshedji Tata Road, Churchgate Reclamation, Mumbai-400020, Mumbai, 400020","Educational ,"
Maharashtra,83781094,St. Teresas Society,"Santacruz (West), S.V.Road, 400054","Educational ,Social "
Maharashtra,83781096,New Life Pentacostal Fellowship of (India),"D/18/35 Digala, L.T. Nagar, Dharavi Cross Road, Mumbai-400017, Mumbai, 400017","Religious(Christian) ,Social "
Maharashtra,83781107,ANIL AGARWAL FOUNDATION,"104, Maker Bhavan No.3 First Floor, 21 New Marine Lines, Mumbai, 400020","Educational ,"
Maharashtra,83781109,UDAAN TRUST,"6/8, Jai Santoshi Maa Bldg., Gauri Shankar Wadi No.2, Pant Nagar, Ghatkopar - E Mumbai, 400075","Economic ,Educational ,Social "
Maharashtra,83781174,HAFFKINE INSTITUTE FOR TRAINING RESEARCH AND TESTING,"ACHARYA DONDE MARG, PAREL, MUMBAI, 400012","Educational ,"
Maharashtra,83781178,HOSMAC FOUNDATION,"UNIT 120, UDYOG BHAVAN, SONAWALA ROAD, GOREGAON(E), MUMBAI, 400063","Educational ,"
Maharashtra,83781188,SHRI WAGAD SARVODAYA TRUST,"3RD FLOOR, LAXMI BUILDING, N.C KELKAR ROAD, DADAR, MUMBAI, 400028",Social 
Maharashtra,83781190,Navjeevan Charitable Trust,"08, Jolly Bhavan No. 1, 10, New Marine Lines, , Mumbai, 400020","Educational ,Social "
Maharashtra,83781194,SHREE SADGURU AYURVEDIC EDUCATIONAL AND RESEARCH FOUNDATION,"74, GIRIJASHANKAR SOCIETY, GULMOHAR LANE, SION CHUNABHATTI, MUMBAI - 400 022., MUMBAI, 400022","Religious(Hindu) ,Educational ,Social "
Maharashtra,83781197,A.K.MUNSHI YOJANA,"J.T.SHETH MANDBUDDHI VIKAS KENDRA, 3RD PANJARAPOLE LANE, C.P.TANK, MUMBAI, MUMBAI, 400004","Economic ,Educational ,Social "
Maharashtra,83781229,UTKARSHA SEVA MANDAL,"19-B, HARARWALA BLDG, N.M.JOSHI MARG, DELISLE ROAD, MUMBAI-400011, MUMBAI, 400011","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Maharashtra,83781239,ROTARY CLUB OF MUMBAI SHIVAJI PARK CHARITIES TRUST,"c o 4 36 TARDEO A C MARKET TARDEO ROAD, MUMBAI, 400007","Educational ,Social "
Maharashtra,83781247,SPARSH CENTER FOR PARTICIPATORY LEARNING,"301 C WING SUKHSAGAR CHS GOLIBAR ROAD SANTACRUZ EAST, Mumbai, 400055","Educational ,Social "
Maharashtra,83781249,St Mathews Educational Trust,"Azmi Nagar Malwani Gate No7 Malad West Mumbai, Mumbai, 400095","Religious(Christian) ,Educational ,Social "
Maharashtra,83781252,JOANNA J. BUTHELLO EDUCATIONAL FOUNDATION,"BUTHELLO HOUSE, PATILWADI, BEHIND MADH CHURCH, MADH, MALAD(W), MUMBAI, 400061","Educational ,"
Maharashtra,83781265,DR KEDIA CHARITABLE TRUST,"43 Bajaj Bhawan 4th Floor 226 Nariman Point Mumbai 400021, Mumbai, 400021",Social 
Maharashtra,83781270,REFORM IMAGE GROUP,"C/O AMITABH KUMAR, AKRUTI, 1ST FLOOR, MIDC CROSS ROAD NO. 21, ANDHERI - EAST, ANDHERI, 400093",Social 
Maharashtra,83781288,ARCHANA EDUCATIONAL TRUST,"81 LAS PALMAS 8TH FLOOR LITTLE GIBBS ROAD, MUMBAI, 400006","Educational ,"
Maharashtra,83781289,BHARATVARSHIYA DIGAMBAR JAIN TIRTHKSHETRA COMMITTEE,"HIRABAUG, 2ND FLOOR, C P TANK, MUMBAI, 400004","Religious(Others) ,"
Maharashtra,83781299,R K HIV AIDS Research and Care Center,"Gala number 5 Bldg number 7A Juhu Sangeeta Apartment Juhu Tara Road Santacruz west, Mumbai, 400049",Social 
Maharashtra,83781306,Lions Club of Bombay Babulnath Service Fund,"10 Sagar Tarang 2nd Floor 81 83 Bhulabhai Deai Road Breach Candy, Mumbai, 400036","Economic ,Educational ,Social "
Maharashtra,83781307,SARASWATI FOUNDATION,"C 701 DATTANI NAGAR BUILDING NO3 S V ROAD BORIVALI WEST, MUMBAI, 400092","Educational ,"
Maharashtra,83781319,ENVIRON FRIEND INSTITUTE,"unit no 29 gayatri darshan thakur complex kandivali East, Mumbai, 400101",Social 
Maharashtra,83781320,WOCKHARDT HMI HIV AIDS EDUCATION AND RESEARCH FOUNDATION,"WOCKHARDT TOWER BANDRA KURLA COMPLEX BANDRA EAST, MUMBAI, 400051","Educational ,Social "
Maharashtra,83781322,Lions Service Fund District 323 A2,"Plot No.101, Sector 7, Kopar Khairne, Navi Mumbai, 400709","Educational ,Social "
Maharashtra,83781323,Gowd Saraswat Brahman Seva Mandal,"Shree Guru Ganesh Prasad Bhookailash Nagar Behind Sion Fort Sion East, Mumbai, 400022","Cultural ,Educational ,Social "
Maharashtra,83781325,Divine Knowledge Society,"E1 Queens View 28 30 Walkeshwar Road, Mumbai, 400006","Economic ,Educational ,Social "
Maharashtra,83781338,Shree Samartha Vyaym Mandir Dadar,"P L Kale Guruji Marg, Dadar Mumbai, 400028","Cultural ,Educational ,"
Maharashtra,83781341,INTERNATIONAL AYURVEDA FOUNDATION,"CO PUJA CORPORATION LTD 3RD FLOOR READYMONEY MANSION 43 VEER NARIMAN ROAD, MUMBAI, 400001","Educational ,Social "
Maharashtra,83781343,INDO BRITISH CULTURAL EXCHANGE,"CO PUJA CORPORATION LTD 3RD FLOOR READYMONEY MANSION 43 VEER NARIMAN ROAD, MUMBAI, 400001","Cultural ,Social "
Maharashtra,83781347,ROTARY CLUB OF MUMBAI MAHIM TRUST,"URJA TECHNIQUES INDIA PVT LTD B17 SHREE RAM INDUSTRIAL ESTATE 13 GD AMBEKAR MARG WADALA, MUMBAI, 400031",Social 
Maharashtra,83781360,AKSHAR GYAN CHARITBABLE TRUST,"505 Himalaya House 79 Patlon Road, MUMBAI, 400001","Educational ,"
Maharashtra,83781361,GARBAGE CONCERN WELFARE SOCIETY,"501 502 ROYAL APARTMENTS SECTOR 3 CHARKOP KANDIVALI WEST, MUMBAI, 400067","Economic ,Educational ,Social "
Maharashtra,83781362,PAN X INITIATIVES,"Flat No 1C 506 Dheeraj nclave 1C Tower CHS Ltd Off Western Express Highway Behind Broadway Cinema Boriwali East Mumbai, Mumbai, 400066","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781363,LION KARTAR SINGH SUNDER SINGH BHASIN CHARITABLE TRUST,"6B DADABHAI ROAD NEAR NAVRANG TALKIES, ANDHERI WEST, 400058",Social 
Maharashtra,83781366,ACADEMY OF INDIAN MARKETING PROFESSIONALS,"11 HEENA MADHU PARK SOCIETY 1ST FLOOR PLOT NO 128 1ST ROAD KHAR WEST, MUMBAI, 400052","Economic ,Educational ,"
Maharashtra,83781367,Conwest and Manjula S Badani Jain Hospital,"8 10 S V Sovani Path Khadilkar Road, Mumbai, 400004",Social 
Maharashtra,83781371,Manav Sevak Educational And Medical Research Foundation,"Ahmad Sailor Building No 8 Room No 14 Sadanand Jadhav Marg Naigaum Dadar East, Mumbai, 400014","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781373,MADINATUL ILM FOUNDATION,"BUSTAAN APARTMENT 2 A 1ST FLOOR 11 BELLASIS ROAD, MUMBAI, 400008","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781376,NAIK FOUNDATION,"303 KALAMANDIR CHITRAKAR KETKAR MARG NEAR PLAYGROUND VILE PARLE EAST, MUMBAI, 400057","Educational ,Social "
Maharashtra,83781377,SAMATA EDUCATIONAL FOUNDATION,"GODAVARI ADARSH CO OPERATIVE HOUSING SOCIETY LALLUBHAI COMPLEX MANKHURD W MUMBAI, MUMBAI, 400043","Educational ,Social "
Maharashtra,83781379,HUMSAYA WELFARE SANSTHA,"R N 2 Kalavati Patil Chowk Raidongri Carter Rd No 5 Borivali East, MUMBAI, 400066",Social 
Maharashtra,83781380,KOKAN SARVANGIN UTKARSH MANDAL,"1-p mistry building 2nd floor flat no 3 gunpowder road mazagaon mumbai, mumbai, 400010","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781382,SHANTILAL NANCHAND KOTHARI CHARITABLE TRUST,"10 Aryavarta 20 Narayan Dabholkar Road, Mumbai, 400006","Educational ,Social "
Maharashtra,83781383,Young Presidents Organisation Mumbai Chapter,"NO 3 Dunhill Dome St Johns Road Pali Hill Naka Bandra west, Mumbai, 400050","Educational ,"
Maharashtra,83781385,DARUL ULOOM IMMAME AZAM ABUHANIFA,"ROOM 88 2 3 INDIRA NAGAR LINKING ROAD SANTACRUZ WEST, MUMBAI, 400054","Religious(Muslim) ,Economic ,Educational ,Social "
Maharashtra,83781391,Kalyani Charitable Trust,"Sapkal Knowledge Hub Unit No 22 1st Floor Shubhada Tower Shopping centre Sir Pochkhanwala Road Near RTO Office worli, Mumbai, 400030","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781393,Samatol Foundation,"Room 4 Ahmed Umar Bldg Dr Dsilva Road Above Hotel Darbar Dadar West, Mumbai, 400028","Educational ,Social "
Maharashtra,83781394,CANCARE TRUST,"PRINCE ALY KHAN HOSPITAL AGA HALL MAZAGAON, MUMBAI, 400010","Economic ,Educational ,Social "
Maharashtra,83781397,THE CHURCH AT POWAI,"F WING 306 KAILASH VAIBHAV COMPLEX NEAR DYNALOG VIKHROLI PARKSITE VIKHROLI WEST, MUMBAI, 400079","Religious(Christian) ,Educational ,Social "
Maharashtra,83781398,INNER WHEEL CLUB OF BOMBAY WEST CHARITABLE TRUST,"ROTARY SERVICE CENTRE JUHU TARA ROAD SANTACRUZ WEST, MUMBAI, 400049",Social 
Maharashtra,83781399,TOUCH Turning Opportunities for Upliftment and Child Help,"502 Dhruv Apartment Asha Nagar Thakur Complex Kandivali East, Mumbai, 400101",Social 
Maharashtra,83781401,HABIB ESMAIL HOSPITAL AND MEDICAL TRUST,"HAJI MOHAMMED BUILDING GROUND FLOOR 115 SHAYDA MARG DONGRI, MUMBAI, 400009",Social 
Maharashtra,83781402,SAI NIRMAL SHANKAR CHARITABLE TRUST,"9 AND 10 UTKARSH CHS PLOT NO 1035 J A RAUL MARG BOTADKARWADI PRABHADEVI, MUMBAI, 400025","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781405,Aastha Parivaar,"86-D, KamgarNagar, S.G.Barve Road, Kurla- East, , Mumbai, 400024","Cultural ,Educational ,Social "
Maharashtra,83781406,THE FOUNDATION,"B 402 NEW SAGAR DARSHAN DR E HASTKAR MARG PRABHADEVI, MUMBAI, 400025","Educational ,"
Maharashtra,83781407,Matoshree Sevadham Arogya Seva Trust,"Rajgarh Datar Colony Beside jankalyan Bank Hanuman Mandir Road Bhandup East, Mumbai, 400042","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781409,MATRI SEVA SADAN CHARITY TRUST,"5TH FLOOR INDUSTRY HOUSE 159 CHURCHGATE RECLEMATION, MUMBAI, 400020","Educational ,"
Maharashtra,83781410,LIONS CLUB OF BOMBAY VERSOVA,"Nirman Cottage Yari Road Versova Andheri West, Mumbai, 400061",Social 
Maharashtra,83781411,FRIENDS CO OP EDUCATION SOCIETY CHARITY TRUST,"554 D NEAR SAGAR GARDEN LBS MARG, MULUND, 400080","Educational ,"
Maharashtra,83781413,JYOTI KALASH EDUCATIONAL TRUST,"17-1 MEHTA CHAWL JHAWA WADI THAKURDWAR CHARNI ROAD MUMBAI 400002, MUMBAI, 400002","Educational ,"
Maharashtra,83781414,Mahila Vikas and Shishu Sanskar Kendra,"107/5 Vardhman Chambers, Kalyan Street, Maszid Bunder, Mumbai, 400009","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781415,CRESCENT EDUCATIONAL AND WELFARE SOCIETY,"Crescent High School Azad Nagar Pailipada Trombay, Mumbai, 400088","Educational ,Social "
Maharashtra,83781416,ZAHARA HASANAT,"NATIONAL HOUSE, 27, RAGHUNATH DADAJI STREET, FORT, MUMBAI, 400001","Economic ,Educational ,"
Maharashtra,83781417,DESH SEVA SAMITI,"BLDG NO25 OFF NO 4 DIVYA JYOT BUILDING ROAD NO 2 SHAHSTRI NAGAR GOREGAON WEST, MUMBAI, 400104","Educational ,Social "
Maharashtra,83781418,AKHIL BHARTIYA MAHILA PARISHAD DADAR MATUNGA BRANCH,"SEVABHARTI , PLOT NO. 394, SHANKAR MATHAM ROAD, MATUNGA, MUMBAI, 400019",Social 
Maharashtra,83781419,TAALIMI IMDADIAH COMMITTEE,"76 JSS ROAD MUMBAI, MUMBAI, 400004","Educational ,"
Maharashtra,83781423,SHARAN,"22 MATRU CHAYYA 70 MARINE DRIVE, MUMBAI, 400200","Educational ,"
Maharashtra,83781424,Manav Kalyan Velankani Trust,"Gorai Uttan Road Near Shepali Stop Gorai Village Borivali West, Mumbai, 400091","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781425,SANKALP CHARITABLE TRUST,"G15 HARIDWAR 1 CHS EVERSHINE NAGAR OFF LINK ROAD MALAD WEST, MUMBAI, 400064","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781426,MANAV FOUNDATION,"109 Swarajya CHS Bldg No 3 Senanpati Bapat Marg Dadar West, Mumbai, 400013","Educational ,Social "
Maharashtra,83781427,THE J B PETIT HIGH SCHOOL FOR GIRLS,"5 MAHARSHI DADHICHI MARG FORT, MUMBAI, 400001","Educational ,"
Maharashtra,83781428,LIFE FOUNDATION,"10 LIGHT HOUSE BLDG SITAFALWADI MAZGAON, MUMBAI, 400010","Educational ,Social "
Maharashtra,83781429,NGO Alliance for Governance and Renewal,"Cecil Court 3rd Floor Mahakavi Bhushan Marg Colaba, Mumbai, 400001",Social 
Maharashtra,83781430,PARLE TILAK VIDYALAYA ASSOCIATION,"HANUMAN ROAD VILE PARLE EAST, MUMBAI, 400057","Educational ,"
Maharashtra,83781431,ADITI SOURCE OF INSPIRATION,"1ST FLOOR KURLA TOBACCO TEA CNTER SONAPUR BHANDUP, MUMBAI, 400078",Social 
Maharashtra,83781432,SETH PRATAPCHANDJI MALANI CHARITABLE TRUST,"1ST FLOOR 98 V P ROAD C P TANK, MUMBAI, 400004","Religious(Others) ,Cultural ,Economic ,Educational ,Social "
Maharashtra,83781433,SHREE SWAMI SAMARTH MEDICAL CHARITABLE TRUST,"PLOT NO 437 ROOM NO 43 GAJANAN VIJAY CHS SECTOR 4 CHARKOP, KANDIVALI WEST, 400067",Social 
Maharashtra,83781434,EDUCATION PROMOTION TRUST,"159 NAJAFI HOUSE NISHANPADA ROAD, MUMBAI, 400009","Educational ,"
Maharashtra,83781435,THE FOCOLARE SOCIETY BOMBAY,"Prakash Kiran, St. Pius Complex, Aarey Road, Goregaon East, , Mumbai, 400063","Educational ,Social "
Maharashtra,83781437,AWAMI WELFARE ASSOCIATION MAHARASHTRA,"6 NEW JAL DARSHAN 288 CHIMBAI ROAD BANDRA WEST, MUMBAI, 400050","Economic ,Educational ,Social "
Maharashtra,83781439,AKSHARA FOUNDATION OF ARTS AND LEARNING,"PLOT NO. 1, R.S.C 12, SECTOR-8, CHARKOP, KANDIVALI W, MUMBAI, 400067","Economic ,"
Maharashtra,83781441,Retailers Association of India,"111/112 Ascot Center Near Hotel ITC Maratha Sahar Road Andheri East, Mumbai, 400099","Economic ,Educational ,Social "
Maharashtra,83781442,ANIMAL MATTER TO ME MUMBAI,"601, B WING, BLDG NO. 1, BLUE MEADOWS, OFF. JVLR ROAD, SHYAM NAGAR, NR. GANPATI TEMPLE LANE, JOGESHWARI EAST, MUMBAI, 400060",Social 
Maharashtra,83781443,ISHAAN HOPE FOUNDATION FOR EDUCATION AND TRAINING,"101 Dheeraj Savera Tower Magathane Village Khatau Mill Compound Borivali E, Mumbai, 400066","Economic ,Educational ,Social "
Maharashtra,83781444,SHRIHARI SATSANG SAMITI MUMBAI,"401 AND 407, 4TH FLOOR, 30, RAMJI M MANSION, JAGANNATH SHANKARSETH MARG, JAMBULWADI DHOBI TALAO, MUMBAI, 400002","Cultural ,Educational ,Social "
Maharashtra,83781445,SHELTER CHARITABLE TRUST,"Care Off Muhammad Isa Patel Halim Manzil Bwing 2nd Floor 64 Morland Road, Mumbai, 400008","Educational ,Social "
Maharashtra,83781446,GHARKUL PUBLIC CHARITABLE TRUST,"4 450 RAJHANS BLGD NAIGAON CROSS ROAD DADAR E, MUMBAI, 400055","Educational ,Social "
Maharashtra,83781447,AARJU FOUNDATION,"Room no 16 Shree Balkeswar Co opt Hsg Soc Ltd Mahadev Bhai Rd Kandiwali East, Mumbai, 400101","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781448,Centre for Aid Care And Cure of Cancer,"Rahima Mahal 36 Memonwada Road Mumbai 400003, Mumbai, 400003","Cultural ,Economic ,Educational ,Social "
Maharashtra,83781449,CHELLARAM FOUNDATION,"GAZDAR HOUSE 3RD FLOOR 629-A J SHANKAR SHETH MARG, MUMBAI, 400002","Economic ,Educational ,Social "
Maharashtra,83781451,JOHARI MEDICAL AND RESEARCH FOUNDATION,"2nd Floor, Bobby Apts, Lady Jamshedji Road, Near Mahim Bazar P O , Mahim W, Mumbai, 400016","Economic ,Social "
Maharashtra,83781452,INTER AIDE DEVELOPMENT INDIA,"13/3 , First floor, RENUKA SADAN, CHANDRODAYA COOPERATIVE HOUSING SOCIETY LTD, OPP SWASTIK CHAMBER CHEMBUR EAST, MUMBAI, 400071",Social 
Maharashtra,83781453,United Social Welfare Association,"32 Carolyn Baburao ranade Rd Dahisar West, Mumbai, 400068","Cultural ,Educational ,Social "
Maharashtra,83781454,SHREE KUTCHHI VISHA OSWAL STHANAKWASI JAIN MAHAJAN MUMBAI,"70 80, Dr Ambedkar Road, Opp Voltasghar, Chinchpokli East, Mumbai, 400012","Educational ,Social "
Maharashtra,83781455,EKTA FOUNDATION,"AMAR NAGAR NEAR FISH MARKET KHINDI PADA ROAD GURU GOVIND SINGH MARG MULUND WEST MUMBAI, MUMBAI, 400008",Social 
Maharashtra,83781456,CREATE FOUNDATION,"4TH FLOOR, KULSUM TERRACE, 7, WALTON ROAD, COLABA, MUMBAI, 400039","Educational ,"
Maharashtra,83781457,BALAK VRINDA EDUCATION SOCIETY,"NEW CHIKHALWADI, OFF SLEATER ROAD, GRANTROAD (W), MUMBAI, 400007","Educational ,"
Maharashtra,83781458,G S B SABHAS MEDICAL TRUST,"Ground Floor Shilpa Apartment Dasturwadi MMGS Marg Dadar E, Mumbai, 400014",Social 
Maharashtra,83781459,THE SOUTH INDIANS WELFARE SOCIETY,"337, MAJOR R. PARAMESHWARAN MARG, WADALA, MUMBAI, 400031","Educational ,"
Maharashtra,83781461,JEWELX FOUNDATION,"401 TRADE CENTRE, OPP BKC TELEPHONE EXCHANGE, BKC, BANDRA EAST, 400098","Educational ,Social "
Maharashtra,83781462,PENTAGON MARITIME TRAINING AND RESEARCH INSTITUTE,"PENTAGON HOUSE PLOT NO 60 SECTOR1 SHIRAVNE NERUL EAST, NAVI MUMBAI, 400706","Educational ,"
Maharashtra,83781463,GIRLS INSPIRED FOR TOMORROW,"155/ 5 D MONTE LANE, ORLEM, MALAD, , MUMBAI, 400064","Educational ,Social "
Maharashtra,83781464,FOUNDATION FOR VITAL HEALING,"1001, PENNINSULA HEIGHTS, C. D. BARFIWALA MARG, JUHU LANE, ANDHERI WEST, MUMBAI, 400058","Educational ,Social "
Maharashtra,83781465,WNS CARES FOUNDATION,"PLANT 10, GODREJ BOYCE COMPLEX, LBS MARG, VIKHROLI-WEST, MUMBAI, 400079","Educational ,Social "
Maharashtra,83781466,SIDDHAGIRI GURUKUL FOUNDATION,"C/o Siddharameshwar Mandir Jai Rameshwar Co operative Society, S V Road Goregaon, 400062",Social 
Maharashtra,83781467,CENTRE FOR RESEARCH AND PROMOTION OF INDIAN MUSIC,"6A 72 Kalpataru Estate J V Link Road Andheri East Mumbai, Mumbai, 400093","Cultural ,Economic ,Educational ,Social "
Maharashtra,84020010,CIVIL SOCIETY INFORMATION SERVICES INDIA,"108 1st Floor D- Definity Jay Prakash Nagar RD, Goregaon East Mumbai, 400063",Social 
Maharashtra,83870017,Nirmala Parish Society,"27, Mall Road, Kamptee-","Religious(Christian) ,Economic ,Educational ,Social "
Maharashtra,83870055,Community Action For Development,"Rozuly Apts Tent Line , Nagpur-440001","Educational ,Social "
Maharashtra,83870056,Village Uplift Society,", Katal Road-","Educational ,Social "
Maharashtra,83870061,Shri Shradhanand Anathalaya,"123, Shardhanandapeth-440022","Educational ,Social "
Maharashtra,83870072,Matru Sewa Sangh Ist. Of Social Work,"Opp. Bajaj Nagar, Nagpur.-",Social 
Maharashtra,83870073,Hajyani Khatijabai Charitable Trust,"638, Central Avenue, Ahmed Manzil-440018","Educational ,"
Maharashtra,83870074,Muk Aur Bahdir Udyogik Sanstha,"North Ambazari Road, Shankar Nagar-","Educational ,"
Maharashtra,83870083,Shri Balasaheb Tripude Granthalya,"Maya Nagar, Post Jaripatka-","Educational ,"
Maharashtra,83870112,Comprehensive Community Hhealth & Village,"Development Society, Shivanganon Po Airport-440005","Educational ,"
Maharashtra,83870123,Param Pujya Dr.b.ambedkar Samarak Samiti,", Deeksha Bhoomi-","Religious(Buddhist) ,Cultural ,Educational ,Social "
Maharashtra,83870128,Central Indian Research Foundation For Socio-econimic & Political Affairs,"207, ganga Niwas, dharempeth Xtn, West High Court Road-440001","Cultural ,Economic ,Educational ,Social "
Maharashtra,83870138,National Institute Of Psychological Medicine,"B-7, Aaradhana Complex, Gokulpeth-440010","Educational ,"
Maharashtra,83870150,Vidarbha Vanvasi Kalyan Ashram,"C/o Laate Anantrao Bhide Smruti Pa-, Risar, 184, Shivaji Nagar-440010","Cultural ,Social "
Maharashtra,83870184,Holistic Welfare Society,"681, Marar Toli, Ram Nagar, (Chatre's House), Nagpur, -440010","Educational ,Social "
Maharashtra,83870186,Nagpur Association for the Rehabilitation of Children & Adults with Orthopaedic & other Disabilities,"No.3, North Ambazari Road, , Dharampeth, -440010","Educational ,Social "
Maharashtra,83870214,RESEARCH AND DEVELOPMENT ASSOCIATION OF INDIA NAGPUR,"MANDAR 108, SURVEY LAYOUT, CHHOTA TAJBAGH, NAGPUR, 440024","Educational ,Social "
Maharashtra,83870217,Love And Care India Trust,"Sunil Jonathan Mission Bungalow St. Ursula School Compound, Opp. VCA Ground Civil lines, 440001",Social 
Maharashtra,83870227,JEEVAN RAKSHA CHARITABLE TRUST,"PLOT NO 16, WEST HIGH COURT ROAD, SHANKAR NAGAR, NAGPUR, 440010",Social 
Maharashtra,83870234,SHRI. SADBHAVANA BUHUUDDESHIYA SANSTHA,"Shri Subhashchandra Govindrao Chakole ( Patil), At-Bodhali, Post-Butibori, , Nagpur, 441108","Cultural ,Educational ,Social "
Maharashtra,83870243,Shirish Memorial Education and Cultural Trust,"shirish 16 South Ambazari Road Laxmi Nagar Nagpur, Nagpur, 440022","Cultural ,Educational ,Social "
Maharashtra,83870246,BRILLIANT EDUCATION SOCIETY,"16/181 HUDCO COLLONY , JARIPATKA, NAGPUR, 440014","Religious(Buddhist) ,Cultural ,Economic ,Educational ,Social "
Maharashtra,83870254,New English High School Association,"Opposite Citnis Park, Ruikar Rd, Mahal, Nagpur, 440032","Economic ,Educational ,"
Maharashtra,83870264,Gramin Mahila Magasvargiya Bahu Uddeshiya Samaj vikas Sanstha Nagpur,"Plot No 14 Bandhu Nagar Zingabai Takli, Nagpur, 440030","Religious(Hindu) ,Cultural ,Economic ,Educational ,Social "
Maharashtra,83870265,JEEWAK WELFARE SOCIETY,"Dr Milind Jiwane Office Naya Nakasha Opposite Swastik School, Nagpur, 440017","Cultural ,Economic ,Educational ,Social "
Maharashtra,83870266,Social Improvement Trust,"Plot No 232 Charkhambachowk Ashoknagar, Nagpur, 440017","Educational ,"
Maharashtra,83870267,AYUSH AROGYAWARDHINI MEDICAL RESEARCH TRUST,"9TH FLOOR A WING LOKMAT BUILDING, NAGPUR, 440010",Social 
Maharashtra,83870269,Centre for Rural Welfare,"19 Shilp Niket Naik Subhash Nagar, Nagpur, 440022",Social 
Maharashtra,83870275,Tejaswini Bahuddyashia Sevabhavi Vikash Sanstha,"Plot No 28 Shubhalaxmi Developers Layout Kawdas Road Teh Hingna, Nagpur, 441110","Cultural ,Economic ,Educational ,Social "
Maharashtra,83870277,Center For Rural Research and Community Development,"155 Sharda Square Ganesh Nagar, Nagpur, 440009","Educational ,Social "
Maharashtra,83870279,PRATIK PRANAV TECHNICAL AND EDUCATIONAL SOCIETY,"183 WASIM ARCADE TUKDOJI CHOWK MANEWADA ROAD, NAGPUR, 440027","Cultural ,Educational ,Social "
Maharashtra,83870282,Rashtriya Vikas Khadi Gramodyog Sanstha Nagpur,"Adarsha Nagar Plot no 61A Main Umred Road Nagpur, Nagpur, 440024","Religious(Others) ,Cultural ,Economic ,Educational ,Social "
Maharashtra,83870283,Vidarbha Handicraft Artisans Welfare Association,"47/3, Auliya Nagar, Tajabad, Nagpur, 440024","Religious(Others) ,Cultural ,Economic ,Educational ,Social "
Maharashtra,83870284,SGR KNOWLEDGE FOUNDATION,"6TH FLOOR SHRADHA HOUSE 345 KINGSWAY NAGPUR, NAGPUR, 440001","Educational ,Social "
Maharashtra,83870285,House of Oneness Ministries Nagpur,"Plot 91, Darshana Society, Gorewada, NAGPUR, 440013","Educational ,Social "
Maharashtra,83870286,DAR E ARQAM EDUCATION TRUST,"280A, RATHOD LAYOUT, NAGPUR, 440013","Educational ,"
